name,id1,birth_date,birth_city,birth_state,birth_country,bats,throws,height_in,weight_lbs,hall_of_fame,seasons_played,career_ops,career_g,career_ab,career_h,career_hr,career_rbi,career_bb,career_war,tie_lahman_id,tie_name,relation
C. J. Cron,cronc002,1990-01-05,Fullerton,CA,USA,R,R,76,235,,10,0.83,1049,3670,953,187,604,268,12.01,moelc001,Chad Moeller,Cousin
CJ Alexander,alexc001,1996-07-17,Merrillville,IN,USA,L,R,76,215,,2,0.319,10,25,4,0,0,0,-0.45,alexb001,Blaze Alexander,Brother
CJ Alexander,alexc001,1996-07-17,Merrillville,IN,USA,L,R,76,215,,2,0.319,10,25,4,0,0,0,-0.45,plesd001,,Nephew
CJ Alexander,alexc001,1996-07-17,Merrillville,IN,USA,L,R,76,215,,2,0.319,10,25,4,0,0,0,-0.45,plesz001,,Cousin
Cal Mitchell,mitcc001,1999-03-08,San Diego,CA,USA,L,L,72,205,,2,0.627,71,216,48,5,17,19,-0.51,mitcj001,,Brother
Cal Ripken,ripkc001,1960-08-24,Havre de Grace,MD,USA,R,R,76,200,HOF,21,0.788,3001,11551,3184,431,1695,1129,95.93,ripkb001,Billy Ripken,Brother
Cal Ripken,ripkc001,1960-08-24,Havre de Grace,MD,USA,R,R,76,200,HOF,21,0.788,3001,11551,3184,431,1695,1129,95.93,ripkc801,,Son
Caleb Joseph,josec001,1986-06-18,Nashville,TN,USA,R,R,75,205,,7,0.621,425,1263,281,32,127,73,4.6,josec002,Corban Joseph,Brother
Carl Crawford,crawc002,1981-08-05,Houston,TX,USA,L,L,74,230,,15,0.765,1716,6655,1931,136,766,377,39.16,crawj002,J. P. Crawford,Cousin
Carl Nichols,nichc001,1962-10-14,Los Angeles,CA,USA,R,R,72,184,,6,0.521,96,186,38,0,18,18,-0.44,lankr001,Ray Lankford,Uncle
Carl Taylor,taylc102,1944-01-20,Sarasota,FL,USA,R,R,74,200,,6,0.749,411,846,225,10,115,136,3.32,poweb101,Boog Powell,Step Brother
Carl Yastrzemski,yastc101,1939-08-22,Southampton,NY,USA,L,R,71,175,HOF,16,0.831,2244,7955,2218,313,1262,1314,59.07,yastm001,Mike Yastrzemski,Grandfather
Carlos Lezcano,lezcc101,1955-09-30,Arecibo,,P.R.,R,R,74,185,,2,0.6,49,102,19,3,14,11,-0.54,lezcs001,Sixto Lezcano,Cousin
Carlos Lopez,lopec001,1948-09-27,Mazatlan,Sinaloa,México,R,R,72,190,,3,0.682,237,500,130,12,54,25,1.62,lopet001,Tim Lopes,Brother
Carlos Martinez,martc002,1965-08-11,La Guaira,Vargas,Venezuela,R,R,77,175,,7,0.652,465,1485,383,25,161,74,-2.35,martj008,Jose Martinez,Father
Carlos Narváez,narvc002,1998-11-26,Maracay,Aragua,Venezuela,R,R,72,190,,2,0.72,124,416,100,15,50,40,2.91,narvo001,Omar Narvaez,Cousin
Carlos Perez,perec001,1990-10-27,Valencia,Carabobo,Venezuela,R,R,72,210,,5,0.623,280,786,171,17,78,47,0.35,perem001,Marty Perez,Brother
Carlos Perez,perec001,1990-10-27,Valencia,Carabobo,Venezuela,R,R,72,210,,5,0.623,280,786,171,17,78,47,0.35,perep001,,Brother
Carmelo Martinez,martc001,1960-07-28,Dorado,,P.R.,R,R,74,190,,9,0.925,1003,2906,713,108,424,404,12.81,marte001,Edgar Martinez,Cousin
Carney Lansford,lansc001,1957-02-07,San Jose,CA,USA,R,R,74,195,,15,0.753,1862,7158,2074,151,874,553,40.43,lansj101,Joe Lansford,Brother
Carson Kelly,kellc001,1994-07-14,Chicago,IL,USA,R,R,74,212,,10,0.828,669,1960,449,71,257,219,8.08,kellp102,Pat Kelly,Son
Carter Kieboom,kiebc001,1997-09-03,Marietta,GA,USA,R,R,74,220,,5,0.596,136,450,90,12,43,52,-2.0,kiebs001,Spencer Kieboom,Brother
Casey McGehee,mcgec101,1982-10-12,Santa Cruz,CA,USA,R,R,73,220,,8,0.804,850,2798,721,67,380,249,-1.01,mcged101,,Brother
Casey Parsons,parsc001,1954-04-14,Wenatchee,WA,USA,L,R,73,180,,4,0.575,63,53,10,2,10,3,-0.37,gehrc101,,Related To
Cavan Biggio,biggc002,1995-04-11,Houston,TX,USA,L,R,74,200,,7,0.831,561,1627,363,52,190,262,6.9,biggc001,Craig Biggio,Son
Cecil Fielder,fielc001,1963-09-21,Los Angeles,CA,USA,R,R,75,230,,13,0.954,1470,5157,1313,319,1008,693,17.22,fielp001,Prince Fielder,Father
Cesar Crespo,cresc001,1979-05-23,Rio Piedras,,P.R.,B,R,71,170,,3,0.553,132,261,50,4,14,28,-1.12,cresf001,Felipe Crespo,Brother
Cesar Izturis,iztuc001,1980-02-10,Barquisimeto,Lara,Venezuela,B,R,69,180,,13,0.732,1310,4350,1103,17,312,226,5.45,iztum001,Maicer Izturis,Half Brother
Chad Moeller,moelc001,1975-02-18,Upland,CA,USA,R,R,75,207,,11,0.653,501,1392,315,29,132,108,-4.22,cronc002,C. J. Cron,Cousin
Chad Wallach,wallc001,1991-11-04,Yorba Linda,CA,USA,R,R,74,246,,8,0.59,156,400,79,11,39,33,-0.55,wallt001,Ty Waller,Son
Chan Perry,perrc001,1972-09-13,Live Oak,FL,USA,R,R,74,200,,2,0.16,18,25,2,0,3,0,-0.5,perrh001,Herbert Perry,Brother
Charles Johnson,johnc003,1971-07-20,Fort Pierce,FL,USA,R,R,74,215,,12,0.958,1188,3836,940,167,570,475,28.82,johnr002,Ron Johnson,Son
Charles Thomas,thomc003,1978-12-26,Fairfield,CA,USA,L,L,72,190,,2,0.739,113,282,73,7,32,26,0.77,wittb001,Bobby Witt Jr.,Son-in-Law
Charles Thomas,thomc003,1978-12-26,Fairfield,CA,USA,L,L,72,190,,2,0.739,113,282,73,7,32,26,0.77,wittb002,,Brother-in-Law
Charley Smith,smitc007,1937-09-15,Charleston,SC,USA,R,R,73,170,,2,0.62,48,72,16,1,7,5,0.11,zaucn101,,Grandson
Charlie Beamon,beamc101,1953-12-04,Oakland,CA,USA,L,L,73,183,,3,0.476,45,51,10,0,0,3,-0.46,beamc102,,Son
Charlie Culberson,culbc001,1989-04-10,Rome,GA,USA,R,R,73,200,,11,0.68,590,1212,301,30,145,68,-0.05,culbl101,,Grandson
Charlie Hayes,hayec001,1965-05-29,Hattiesburg,MS,USA,R,R,72,190,,14,0.807,1547,5262,1379,144,740,420,11.16,hayek001,Ke'Bryan Hayes,Father
Charlie Sands,sandc002,1947-12-17,Newport News,VA,USA,L,R,74,200,,5,0.769,92,144,31,6,23,36,0.48,sands002,,Son
Chase d'Arnaud,darnc001,1987-01-21,Torrance,CA,USA,R,R,73,197,,7,0.881,236,550,122,5,40,36,-1.38,darnt001,Travis d'Arnaud,Brother
Chris Bando,bandc001,1956-02-04,Cleveland,OH,USA,B,R,72,195,,9,0.63,498,1284,292,27,142,138,1.27,bands101,Sal Bando,Brother
Chris Barnwell,barnc102,1979-03-01,Jacksonville,FL,USA,R,R,70,180,,1,0.164,13,30,2,0,1,1,-0.48,barnv102,,Father
Chris Bourjos,bourc101,1954-10-16,Chicago,IL,USA,R,R,72,185,,1,0.701,13,22,5,1,2,2,0.15,bourp001,Pat Bourque,Father
Chris Bourjos,bourc101,1954-10-16,Chicago,IL,USA,R,R,72,185,,1,0.701,13,22,5,1,2,2,0.15,denno101,,Nephew
Chris Colabello,colac101,1983-10-24,Framingham,MA,USA,R,R,76,210,,4,0.74,225,727,187,28,111,58,-0.73,colaj101,,Brother
Chris Coletta,colec001,1944-08-02,Brooklyn,NY,USA,L,L,71,190,,1,0.756,14,30,9,1,7,1,0.01,colej101,,Grandson
Chris Coletta,colec001,1944-08-02,Brooklyn,NY,USA,L,L,71,190,,1,0.756,14,30,9,1,7,1,0.01,colej102,,Son
Chris Cron,cronc001,1964-03-31,Albuquerque,NM,USA,R,R,74,200,,2,0.228,12,25,2,0,0,2,-0.5,cronc002,C. J. Cron,Father
Chris Cron,cronc001,1964-03-31,Albuquerque,NM,USA,R,R,74,200,,2,0.228,12,25,2,0,0,2,-0.5,cronk001,Kevin Cron,Father
Chris Duncan,duncc002,1981-05-05,Tucson,AZ,USA,L,R,77,210,,5,0.805,389,1147,295,55,175,160,2.81,duncs001,Shelley Duncan,Brother
Chris Duncan,duncc002,1981-05-05,Tucson,AZ,USA,L,R,77,210,,5,0.805,389,1147,295,55,175,160,2.81,duncd101,Dave Duncan,Son
Chris Gwynn,gwync001,1964-10-13,Los Angeles,CA,USA,L,L,72,200,,10,0.678,599,1007,263,17,118,71,-1.41,gwynt002,,Uncle
Chris Gwynn,gwync001,1964-10-13,Los Angeles,CA,USA,L,L,72,200,,10,0.678,599,1007,263,17,118,71,-1.41,gwynt001,Tony Gwynn,Brother
Chris Heisey,heisc102,1984-12-14,Mount Joy,PA,USA,R,R,73,220,,8,0.71,697,1594,380,62,178,110,3.98,heisj101,,Father
Chris Johnson,johnc101,1984-10-01,Naples,FL,USA,R,R,75,225,,8,0.913,839,2811,773,63,339,144,0.5,johne105,Elliot Johnson,Brother
Chris Marrero,marrc001,1988-07-02,Miami,FL,USA,R,R,75,229,,3,0.494,54,163,34,1,16,6,-1.53,marrc801,,Brother
Chris Marrero,marrc001,1988-07-02,Miami,FL,USA,R,R,75,229,,3,0.494,54,163,34,1,16,6,-1.53,marrd001,Deven Marrero,Cousin
Chris Marrero,marrc001,1988-07-02,Miami,FL,USA,R,R,75,229,,3,0.494,54,163,34,1,16,6,-1.53,marre001,Eli Marrero,Nephew
Chris Nyman,nymac101,1955-06-06,Pomona,CA,USA,R,R,76,200,,2,0.65,49,93,24,2,6,7,-0.13,nyman101,Nyls Nyman,Brother
Chris Roberson,robec002,1979-08-23,Oakland,CA,USA,B,R,74,180,,2,0.514,85,69,16,0,2,1,0.02,robed002,Dave Roberts,Brother
Chris Speier,speic001,1950-06-28,Alameda,CA,USA,R,R,73,175,,19,0.73,2260,7156,1759,112,720,847,32.57,speij001,,Father
Chris Taylor,taylc104,1990-08-29,Virginia Beach,VA,USA,R,R,73,196,,12,0.773,1123,3465,860,110,443,370,15.64,taylj104,,Brother
Chris Taylor,taylc104,1990-08-29,Virginia Beach,VA,USA,R,R,73,196,,12,0.773,1123,3465,860,110,443,370,15.64,taylj105,,Brother
Chris Taylor,taylc104,1990-08-29,Virginia Beach,VA,USA,R,R,73,196,,12,0.773,1123,3465,860,110,443,370,15.64,taylb108,Beau Taylor,Brother
Chris Valaika,valac001,1985-08-14,Santa Monica,CA,USA,R,R,71,205,,4,0.633,99,248,59,5,24,13,-0.44,valap001,Pat Valaika,Brother
Chuck Brinkman,brinc101,1944-09-16,Cincinnati,OH,USA,R,R,73,185,,6,0.473,148,267,46,1,12,23,-1.28,brine101,Ed Brinkman,Brother
Chuck Carr,carrc104,1967-08-10,San Bernardino,CA,USA,B,R,70,155,,8,0.711,507,1713,435,13,123,149,4.89,carrm001,Matias Carrillo,Father
Chuck Scrivener,scric101,1947-10-03,Alexandria,VA,USA,R,R,69,170,,3,0.49,145,310,59,2,18,24,-0.27,crouj101,,Nephew
Clay Bellinger,bellc001,1968-11-18,Oneonta,NY,USA,R,R,75,195,,4,0.621,183,311,60,12,35,22,-0.21,bellc002,Cody Bellinger,Father
Clete Boyer,boyec101,1937-02-09,Cossville,MO,USA,R,R,72,165,,4,0.675,379,1342,327,40,155,120,5.65,boyek101,Ken Boyer,Brother
Clete Boyer,boyec101,1937-02-09,Cossville,MO,USA,R,R,72,165,,4,0.675,379,1342,327,40,155,120,5.65,boyec102,,Brother
Cliff Johnson,johnc002,1947-07-22,San Antonio,TX,USA,R,R,76,215,,15,1.081,1369,3945,1016,196,699,568,20.95,mcgrf001,Fred McGriff,Cousin
Cliff Johnson,johnc002,1947-07-22,San Antonio,TX,USA,R,R,76,215,,15,1.081,1369,3945,1016,196,699,568,20.95,mcgrt002,Terry McGriff,Nephew
Cliff Pastornicky,pastc101,1958-11-18,Seattle,WA,USA,R,R,70,170,,1,0.437,10,32,4,2,5,0,-0.36,pastt001,Tyler Pastornicky,Father
Clint Barmes,barmc001,1979-03-06,Vincennes,IN,USA,R,R,73,200,,13,0.673,1186,3805,932,89,415,216,14.97,barmb101,,Nephew
Clyde Mashore,mashc101,1945-05-29,Concord,CA,USA,R,R,72,182,,5,0.583,241,419,87,8,47,43,-1.2,mashd001,Damon Mashore,Father
Clyde Mashore,mashc101,1945-05-29,Concord,CA,USA,R,R,72,182,,5,0.583,241,419,87,8,47,43,-1.2,mashj801,,Father
Coco Laboy,laboc101,1940-07-03,Ponce,,P.R.,R,R,70,165,,5,0.643,420,1247,291,28,166,97,-0.91,manga101,Angel Mangual,Cousin
Coco Laboy,laboc101,1940-07-03,Ponce,,P.R.,R,R,70,165,,5,0.643,420,1247,291,28,166,97,-0.91,mangp101,Pepe Mangual,Cousin
Cody Bellinger,bellc002,1995-07-13,Scottsdale,AZ,USA,L,L,76,203,,9,0.817,1157,4230,1102,225,695,469,30.41,bellc001,Clay Bellinger,Son
Cody McKay,mckac001,1974-01-11,Vancouver,BC,CAN,L,R,72,212,,2,0.553,37,77,19,0,8,2,-0.32,mckad101,Dave McKay,Son
Colby Rasmus,rasmc001,1986-08-11,Columbus,GA,USA,L,L,74,195,,10,0.819,1092,3704,891,166,491,362,20.84,rasmc002,,Brother
Cole Figueroa,figuc001,1987-06-30,Tallahassee,FL,USA,L,R,70,185,,3,0.536,48,77,16,0,9,5,-0.4,figub001,Bien Figueroa,Son
Colin Moran,morac001,1992-10-01,Port Chester,NY,USA,L,R,76,225,,7,0.742,502,1520,400,50,239,142,-0.23,morab001,,Brother
Colin Moran,morac001,1992-10-01,Port Chester,NY,USA,L,R,76,225,,7,0.742,502,1520,400,50,239,142,-0.23,surhb001,B. J. Surhoff,Nephew
Colin Moran,morac001,1992-10-01,Port Chester,NY,USA,L,R,76,225,,7,0.742,502,1520,400,50,239,142,-0.23,surhr001,,Nephew
Conner Capel,capec001,1997-05-19,Katy,TX,USA,L,L,73,185,,3,1.036,59,133,37,3,14,17,0.46,capem001,,Son
Corban Joseph,josec002,1988-10-28,Franklin,TN,USA,L,R,72,185,,3,1.013,44,88,15,1,10,5,-2.03,josec001,Caleb Joseph,Brother
Corbin Carroll,carrc105,2000-08-21,Seattle,WA,USA,L,L,70,165,,4,0.833,488,1822,470,82,248,205,15.65,coloc001,Cris Colon,Uncle
Corbin Carroll,carrc105,2000-08-21,Seattle,WA,USA,L,L,70,165,,4,0.833,488,1822,470,82,248,205,15.65,carra101,,Nephew
Corey Patterson,pattc001,1979-08-13,Atlanta,GA,USA,L,R,70,180,,12,0.732,1230,4171,1050,118,431,206,8.7,patte001,Eric Patterson,Brother
Corey Seager,seagc001,1994-04-27,Charlotte,NC,USA,L,R,76,215,,11,0.871,1131,4344,1254,221,667,473,43.18,seagk001,Kyle Seager,Brother
Craig Biggio,biggc001,1965-12-14,Smithtown,NY,USA,R,R,71,185,HOF,20,0.797,2850,10876,3060,291,1175,1160,65.49,biggc002,Cavan Biggio,Father
Cris Colon,coloc001,1969-01-03,La Guaira,Vargas,Venezuela,B,R,74,180,,1,0.356,14,36,6,0,1,1,-0.19,carra101,,Great Nephew
Cris Colon,coloc001,1969-01-03,La Guaira,Vargas,Venezuela,B,R,74,180,,1,0.356,14,36,6,0,1,1,-0.19,carrc105,Corbin Carroll,Nephew
Curtis Brown,browc102,1945-09-14,Sacramento,CA,USA,R,R,71,180,,1,0.0,1,4,0,0,0,0,-0.13,browl103,Larry Brown,Brother
D. T. Cromer,cromd001,1971-03-19,Lake City,SC,USA,L,L,74,190,,2,0.904,85,104,32,7,20,4,0.38,cromt001,Tripp Cromer,Brother
DJ LeMahieu,lemad103,1988-07-13,Visalia,CA,USA,R,R,76,220,,15,0.759,1673,6132,1772,126,663,575,30.57,holmb001,,Step Father
DJ LeMahieu,lemad103,1988-07-13,Visalia,CA,USA,R,R,76,220,,15,0.759,1673,6132,1772,126,663,575,30.57,holmb002,,Step Father
Dale Berra,berrd001,1956-12-13,Ridgewood,NJ,USA,R,R,72,180,,11,0.638,853,2553,603,49,278,210,5.45,berry101,,Son
Dale Sveum,sveud001,1963-11-23,Richmond,CA,USA,B,R,74,185,,12,0.734,862,2526,597,69,340,227,-3.23,olerj001,John Olerud,Cousin
Dallas Williams,willd104,1958-02-28,Brooklyn,NY,USA,L,L,71,165,,2,0.226,20,38,3,0,1,3,-0.62,willr801,Reggie Williams,Father
Dalton Guthrie,guthd001,1995-12-23,Sarasota,FL,USA,R,R,71,160,,2,0.726,37,45,11,1,5,9,0.53,guthm001,,Son
Dalton Jones,joned105,1943-12-10,McComb,MS,USA,L,R,73,180,,5,0.609,473,1177,258,23,113,108,-4.32,jonel001,Lynn Jones,Brother
Damon Buford,bufod101,1970-06-12,Baltimore,MD,USA,R,R,70,170,,9,0.73,699,1853,448,54,218,173,2.3,bufod001,Don Buford,Father
Damon Mashore,mashd001,1969-10-31,Ponce,,P.R.,R,R,71,195,,3,0.718,185,482,120,8,41,75,0.49,mashj801,,Brother
Damon Mashore,mashd001,1969-10-31,Ponce,,P.R.,R,R,71,195,,3,0.718,185,482,120,8,41,75,0.49,mashc101,Clyde Mashore,Son
Damon Minor,minod001,1974-01-05,Canton,OH,USA,L,L,79,230,,4,0.738,136,285,66,13,39,41,0.1,minor001,Ryan Minor,Brother
Dan Driessen,dried001,1951-07-29,Hilton Head Island,SC,USA,L,R,71,187,,15,0.886,1732,5479,1464,153,763,761,23.7,perrg001,Gerald Perry,Uncle
Dan Ford,fordd002,1952-05-19,Los Angeles,CA,USA,R,R,73,185,,11,0.75,1153,4163,1123,121,566,303,11.82,fordt102,Ted Ford,Grandson
Dan Johnson,johnd107,1979-08-10,Coon Rapids,MN,USA,L,R,74,210,,10,0.741,443,1382,324,57,203,214,3.25,johnj107,Jay Johnstone,Brother
Dan Whitmer,whitd102,1955-11-23,Redlands,CA,USA,R,R,75,195,,2,0.533,55,96,22,0,7,5,-0.19,whitw103,,Brother
Dan Whitmer,whitd102,1955-11-23,Redlands,CA,USA,R,R,75,195,,2,0.533,55,96,22,0,7,5,-0.19,white104,Ed Whited,Cousin
Dan Wilson,wilsd103,1969-03-25,Arlington Heights,IL,USA,R,R,75,190,,14,0.691,1299,4186,1097,88,519,280,12.96,wilse104,Enrique Wilson,Brother
Dane Iorg,iorgd001,1950-05-11,Eureka,CA,USA,L,R,72,180,,10,0.786,743,1647,455,14,216,107,-0.58,iorgg001,Garth Iorg,Brother
Dane Sardinha,sardd001,1979-04-08,Honolulu,HI,USA,R,R,72,215,,6,0.508,59,151,25,3,15,15,-1.04,sardb001,Bronson Sardinha,Brother
Daniel Fields,field001,1991-01-23,Detroit,MI,USA,L,R,74,225,,1,1.0,1,3,1,0,0,0,-0.06,fielb001,Bruce Fields,Son
Danny Bautista,bautd001,1972-05-24,Santo Domingo,Distrito Nacional,D.R.,R,R,71,170,,12,0.835,895,2517,685,62,319,149,-0.22,delaj101,Jason Delay,Step Son
Danny Breeden,breed101,1942-06-27,Albany,GA,USA,R,R,71,185,,2,0.414,28,73,11,0,5,9,-0.68,breeh101,Hal Breeden,Brother
Danny Clyburn,clybd001,1974-04-06,Lancaster,SC,USA,R,R,75,220,,3,0.629,41,109,23,4,8,8,-0.42,harrp001,,Cousin
Danny Garcia,garcd801,1954-04-29,Brooklyn,NY,USA,L,L,73,182,,1,0.286,12,14,2,0,0,0,-0.21,garcg002,Guillermo Garcia,Grandfather
Danny Goodwin,goodd001,1953-09-02,St. Louis,MO,USA,L,R,73,195,,7,0.674,252,636,150,13,81,61,-1.65,shefg001,Gary Sheffield,Uncle
Danny Heep,heepd001,1957-07-03,San Antonio,TX,USA,L,L,71,185,,13,0.688,883,1961,503,30,229,220,0.27,battm101,Matthew Batten,Nephew
Danny Tartabull,tartd001,1962-10-30,San Juan,,P.R.,R,R,73,185,,14,0.904,1406,5011,1366,262,925,768,22.61,tartj101,Jose Tartabull,Son
Danny Thompson,thomd105,1947-02-01,Wichita,KS,USA,R,R,72,183,,7,0.671,694,2218,550,15,194,120,1.13,thomw103,,Brother
Dante Bichette,bichd001,1963-11-18,West Palm Beach,FL,USA,R,R,75,215,,14,0.912,1704,6381,1906,274,1141,355,6.44,bichb001,Bo Bichette,Father
Darrell Brown,browd004,1955-10-29,Oklahoma City,OK,USA,B,R,72,184,,4,0.629,210,591,162,1,44,25,-0.02,granj101,,Nephew
Darren Baker,baked101,1999-02-11,Redwood City,CA,USA,L,R,70,167,,1,1.143,9,14,7,0,0,0,0.03,baked001,Dusty Baker,Brother
Darrin Fletcher,fletd001,1966-10-03,Elmhurst,IL,USA,L,R,74,195,,14,0.74,1245,3902,1048,124,583,255,7.22,flett101,,Son
Darrin Jackson,jackd004,1963-08-22,Los Angeles,CA,USA,R,R,72,185,,12,0.84,960,2629,676,80,317,131,10.33,jackb002,Bo Jackson,Brother
Daryle Ward,wardd002,1975-06-27,Lynwood,CA,USA,L,L,74,240,,11,0.817,948,2234,588,90,379,192,-3.64,wardg001,Gary Ward,Son
Daulton Varsho,varsd001,1996-07-02,Marshfield,WI,USA,L,R,70,207,,6,0.725,648,2150,487,99,295,198,17.74,varsg001,Gary Varsho,Son
Dave Baker,baked002,1956-11-25,Lacona,IA,USA,L,R,72,185,,1,0.7,9,20,5,0,2,3,-0.1,baked003,Doug Baker,Father
Dave Clark,clard102,1962-09-03,Tupelo,MS,USA,L,R,74,200,,13,0.81,905,1964,518,62,284,222,0.65,clarj102,Jack Clark,Brother
Dave Clark,clard102,1962-09-03,Tupelo,MS,USA,L,R,74,200,,13,0.81,905,1964,518,62,284,222,0.65,clarw102,Will Clark,Brother
Dave Clark,clard102,1962-09-03,Tupelo,MS,USA,L,R,74,200,,13,0.81,905,1964,518,62,284,222,0.65,hackm101,,Cousin
Dave Clark,clard102,1962-09-03,Tupelo,MS,USA,L,R,74,200,,13,0.81,905,1964,518,62,284,222,0.65,hackw101,,Cousin
Dave Coleman,coled001,1950-10-26,Dayton,OH,USA,R,R,75,195,,1,0.077,11,12,0,0,0,1,-0.33,segoz001,,Father-in-Law
Dave Duncan,duncd101,1945-09-26,Dallas,TX,USA,R,R,74,190,,9,0.64,870,2731,589,103,325,246,7.47,duncc002,Chris Duncan,Father
Dave Duncan,duncd101,1945-09-26,Dallas,TX,USA,R,R,74,190,,9,0.64,870,2731,589,103,325,246,7.47,duncs001,Shelley Duncan,Father
Dave Henderson,hendd001,1958-07-21,Merced,CA,USA,R,R,74,210,,14,0.831,1538,5130,1324,197,708,465,29.91,hendj102,,Nephew
Dave Magadan,magad001,1962-09-30,Tampa,FL,USA,L,R,75,190,,16,0.847,1582,4159,1197,42,495,718,22.83,pinil001,Lou Piniella,Cousin
Dave McDonald,mcdod001,1943-05-20,New Albany,IN,USA,L,R,75,215,,2,0.457,33,62,9,1,6,6,-0.7,mcdod002,Donzell McDonald,Brother
Dave McKay,mckad101,1950-03-14,Vancouver,BC,CAN,B,R,73,195,,8,0.58,645,1928,441,21,170,86,-2.75,mckac001,Cody McKay,Father
Dave Oliver,olivd001,1951-04-07,Stockton,CA,USA,L,R,71,175,,1,0.853,7,22,7,0,3,4,0.32,olivb101,Bob Oliver,Son
Dave Owen,owend001,1958-04-25,Cleburne,TX,USA,B,R,74,170,,4,0.533,92,139,27,1,16,11,-0.69,owens001,Spike Owen,Brother
Dave Parker,parkd102,1951-06-09,Grenada,MS,USA,L,R,77,230,HOF,19,0.854,2466,9358,2712,339,1493,683,39.04,parkj101,Jarrett Parker,Brother
Dave Ricketts,rickd101,1935-07-12,Pottstown,PA,USA,B,R,72,190,,3,0.495,64,77,17,0,6,5,-0.65,rickd102,,Brother
Dave Roberts,robed002,1951-02-17,Lebanon,OR,USA,R,R,75,215,,10,0.644,709,2017,483,49,208,128,0.36,robec002,Chris Roberson,Brother
Dave Robinson,robid102,1946-05-22,Minneapolis,MN,USA,B,L,73,186,,2,0.814,22,44,12,2,6,6,0.44,robib102,Brooks Robinson,Brother
Dave Van Gorder,gordd002,1957-03-27,Los Angeles,CA,USA,R,R,74,205,,5,0.547,183,420,89,3,38,39,-1.73,gordn001,Nick Gordon,Brother
Dave Van Gorder,gordd002,1957-03-27,Los Angeles,CA,USA,R,R,74,205,,5,0.547,183,420,89,3,38,39,-1.73,gordt001,,Son
Davey Johnson,johnd101,1943-01-30,Orlando,FL,USA,R,R,73,170,,10,0.794,1136,3739,989,119,488,464,23.92,johne102,Erik Johnson,Son
David Cooper,coopd101,1987-02-12,Stockton,CA,USA,L,L,72,200,,2,0.75,72,211,57,6,23,11,0.05,coopa103,,Brother
David Eckstein,ecksd001,1975-01-20,Sanford,FL,USA,R,R,66,170,,10,0.741,1311,5041,1414,35,392,376,20.91,ecksr801,,Brother
David Fletcher,fletd002,1994-05-31,Orange,CA,USA,R,R,69,185,,7,0.681,539,2026,560,16,170,135,10.29,fletd003,Dominic Fletcher,Brother
David Howard,howad102,1967-02-26,Sarasota,FL,USA,B,R,72,165,,9,0.595,645,1583,362,11,148,137,2.58,howai101,,Brother
David Segui,segud001,1966-07-19,Kansas City,KS,USA,B,L,73,170,,15,1.068,1456,4847,1412,139,684,524,15.19,segud101,,Son
Daz Cameron,camed001,1997-01-15,McDonough,GA,USA,R,R,74,185,,5,0.585,160,435,87,11,42,31,-1.69,camem001,Mike Cameron,Son
Dee Brown,browd102,1978-03-27,Bronx,NY,USA,L,R,72,235,,8,0.613,271,814,190,14,89,50,-2.89,browl104,Leon Brown,Brother
Del Unser,unsed101,1944-12-09,Decatur,IL,USA,L,L,73,180,,15,0.736,1799,5215,1344,87,481,481,16.57,unsea101,,Son
Delino DeShields,deshd001,1969-01-15,Seaford,DE,USA,L,R,73,170,,13,0.773,1615,5779,1548,80,561,754,24.78,deshd002,,Father
Dell Alston,alstd101,1952-09-22,Valhalla,NY,USA,L,R,72,180,,4,0.612,189,332,79,3,35,28,-4.13,alstg001,,Cousin
Delmon Young,yound105,1985-09-14,Birmingham,AL,USA,R,R,75,240,,10,0.883,1118,4108,1162,109,566,179,2.5,yound104,Delwyn Young,Son
Delwyn Young,yound104,1982-06-30,Los Angeles,CA,USA,B,R,70,209,,5,0.709,344,710,183,17,81,58,-0.57,yound105,Delmon Young,Father
Dennis Paepke,paepd101,1945-04-17,Long Beach,CA,USA,R,R,72,202,,4,0.477,80,197,36,2,14,12,-2.06,paepj801,,Son
Denny Doyle,doyld102,1943-01-17,Glasgow,KY,USA,L,R,69,175,,8,0.632,944,3290,823,16,237,205,6.05,doylb801,Brenton Doyle,Brother
Denny Doyle,doyld102,1943-01-17,Glasgow,KY,USA,L,R,69,175,,8,0.632,944,3290,823,16,237,205,6.05,doylb101,Brian Doyle,Brother
Derek Bell,belld002,1968-12-11,Tampa,FL,USA,R,R,74,200,,11,0.756,1210,4578,1262,134,668,377,13.08,bellm003,Mike Bell,Brother
Derek Bell,belld002,1968-12-11,Tampa,FL,USA,R,R,74,200,,11,0.756,1210,4578,1262,134,668,377,13.08,bellb001,Buddy Bell,Son
Derek Bell,belld002,1968-12-11,Tampa,FL,USA,R,R,74,200,,11,0.756,1210,4578,1262,134,668,377,13.08,bellg103,,Grandson
Dernell Stenson,stend101,1978-06-17,LaGrange,GA,USA,L,L,73,230,,1,0.753,37,81,20,3,13,11,0.13,stenm001,Mike Stenhouse,Father
Deron Johnson,johnd001,1938-07-17,San Diego,CA,USA,R,R,74,200,,9,1.112,1097,3657,862,147,536,416,-2.23,johns001,Sherman Johnson,Father
Deven Marrero,marrd001,1990-08-25,Miami,FL,USA,R,R,72,190,,7,0.524,178,341,65,6,38,26,-0.42,marrc001,Chris Marrero,Cousin
Deven Marrero,marrd001,1990-08-25,Miami,FL,USA,R,R,72,190,,7,0.524,178,341,65,6,38,26,-0.42,marrc801,,Cousin
