name,id1,birth_date,birth_city,birth_state,birth_country,bats,throws,height_in,weight_lbs,hall_of_fame,seasons_played,career_ops,career_g,career_ab,career_h,career_hr,career_rbi,career_bb,career_war,tie_lahman_id,tie_name,relation
Angel Escobar,escoa003,1965-05-12,La Sabana,Vargas,Venezuela,B,R,72,160,,1,0.666,3,3,1,0,0,0,0.0,acunr001,Ronald Acuña Jr.,Cousin
Angel Escobar,escoa003,1965-05-12,La Sabana,Vargas,Venezuela,B,R,72,160,,1,0.666,3,3,1,0,0,0,0.0,campv001,,Cousin
Angel Escobar,escoa003,1965-05-12,La Sabana,Vargas,Venezuela,B,R,72,160,,1,0.666,3,3,1,0,0,0,0.0,escoe002,Eduardo Escobar,Cousin
Angel Escobar,escoa003,1965-05-12,La Sabana,Vargas,Venezuela,B,R,72,160,,1,0.666,3,3,1,0,0,0,0.0,escok001,,Cousin
Angel Escobar,escoa003,1965-05-12,La Sabana,Vargas,Venezuela,B,R,72,160,,1,0.666,3,3,1,0,0,0,0.0,escoj001,Jose Escobar,Nephew
Angel Mangual,manga101,1947-03-19,Juana Diaz,,P.R.,R,R,70,178,,7,0.625,450,1241,304,22,125,59,2.1,mangp101,Pepe Mangual,Brother
Angel Mangual,manga101,1947-03-19,Juana Diaz,,P.R.,R,R,70,178,,7,0.625,450,1241,304,22,125,59,2.1,laboc101,Coco Laboy,Cousin
Antone Williamson,willa004,1973-07-18,Harbor City,CA,USA,L,R,73,195,,1,0.513,24,54,11,0,6,4,-0.8,mitcr001,Russ Mitchell,Cousin
Art Gardner,garda104,1952-09-21,Madden,MS,USA,L,L,71,175,,3,0.371,86,99,16,0,5,4,-0.92,gardd101,,Brother
Aurelio Rodriguez,rodra001,1947-12-28,Cananea,Sonora,México,R,R,70,180,,16,0.728,1988,6481,1539,123,640,322,18.67,dunaj001,Joe Dunand,Uncle
Austin Barnes,barna001,1989-12-28,Fullerton,CA,USA,R,R,70,187,,11,0.66,612,1516,338,35,162,196,4.39,gallm001,Mike Gallego,Nephew
Austin Meadows,meada001,1995-05-03,Atlanta,GA,USA,L,L,75,225,,6,0.891,417,1507,390,70,238,156,6.09,meadp001,Parker Meadows,Brother
Austin Nola,nolaa001,1989-12-28,Baton Rouge,LA,USA,R,R,72,197,,6,0.804,360,1087,268,24,137,109,5.62,nolaa002,,Brother
